NAME_ENG,SOC,RegAgg
Samoa,WSM,Australia_Oceania
San Marino,SMR,Rest of World
SAO TOME AND PRINCIPE,STP,Sub Saharan
SAUDI ARABIA,SAU,"Central, Western and South Asia"
SENEGAL,SEN,Sub Saharan
Serbia,SRB,Rest of World
SEYCHELLES,SYC,Sub Saharan
SIERRA LEONE,SLE,Sub Saharan
SINGAPORE,SGP,Southeast Asia
Sint Eustatius(Neth.),ses,"EU, UK and EFTA"
Slovakia,SVK,"EU, UK and EFTA"
Slovenia,SVN,"EU, UK and EFTA"
SOLOMON ISLANDS,SLB,Australia_Oceania
SOMALIA,SOM,Sub Saharan
SOUTH AFRICA,ZAF,South Africa
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SGS,Rest of World
South Sudan,SSD,Sub Saharan
SRILANKA,LKA,"Central, Western and South Asia"
St. Helena (U.K.),SHN,"EU, UK and EFTA"
St. Lucia,LCA,Rest of America
St. Martin(Fr.),MAF,Rest of America
ST.KITTS AND NEVIS,KNA,Rest of America
St.Martin(Neth.),mah,"EU, UK and EFTA"
Sudan,SDN,Sub Saharan
Suriname,SUR,Rest of America
SVALBARD AND JAN MAYEN,NOR,"EU, UK and EFTA"
Swaziland,SWZ,Sub Saharan
SWEDEN,SWE,"EU, UK and EFTA"
Switzerland,CHE,"EU, UK and EFTA"
Syria,SYR,"Central, Western and South Asia"
TAJIKISTAN,TJK,"Central, Western and South Asia"
TANZANIA,TZA,Sub Saharan
THAILAND,THA,Southeast Asia
The Former Yugoslav Republic of Macedonia,MKD,Rest of World
Togo,TGO,Sub Saharan
TOKELAU,TKL,Australia_Oceania
TONGA,TON,Australia_Oceania
TRINIDAD AND TOBAGO,TTO,Rest of America
TUNISIA,TUN,North Africa
TURKEY,TUR,"Central, Western and South Asia"
TURKMENISTAN,TKM,"Central, Western and South Asia"
TURKS AND CAICOS ISLANDS,TCA,Rest of America
TUVALU,TUV,Australia_Oceania
Uganda,UGA,Sub Saharan
UKRAINE,UKR,Eastern Europe
UNITED ARAB EMIRATES,ARE,"Central, Western and South Asia"
UNITED KINGDOM,GBR,"EU, UK and EFTA"
UNITED STATES,USA,United States
Uruguay,URY,Rest of America
UZBEKISTAN,UZB,"Central, Western and South Asia"
VANUATU,VUT,Australia_Oceania
Vatican City,VAT,"EU, UK and EFTA"
VENEZUELA,VEN,Rest of America
VIET NAM,VNM,Southeast Asia
"VIRGIN ISLANDS,U.S.",VIR,Rest of America
Virgin IslandsU.K.,VGB,Rest of America
WALLIS AND FUTUNA,WLF,Australia_Oceania
WESTERN SAHARA,ESH,North Africa
YEMEN,YEM,"Central, Western and South Asia"
Zambia,ZMB,Sub Saharan
Zimbabwe,ZWE,Sub Saharan
